# JWST Extended High-Redshift Galaxy Catalog v16 (2025-2026 Data)
# Compiled from JADES DR4, EXCELS, GLASS, CEERS, UNCOVER (2025-2026)
# Total: 150 galaxies (spectroscopic + photometric z>9)
#
# Columns:
# - ID: Galaxy identifier
# - z: Redshift (spectroscopic or photometric)
# - z_err: Redshift uncertainty
# - z_type: 'spec' (spectroscopic) or 'phot' (photometric)
# - log_Mstar: log10(M*/Msun) stellar mass
# - sigma_Mstar: Uncertainty on log_Mstar
# - log_SFR: log10(SFR [Msun/yr]) if available
# - metallicity_12OH: 12+log(O/H) if available (-1 if not measured)
# - has_AGN: 1 if AGN detected, 0 otherwise
# - protocluster: Name of protocluster if member, 'field' otherwise
# - sigma_v: Velocity dispersion [km/s] if measured (-1 if not)
# - Survey: Source survey
# - Reference: Primary reference (2024-2026)
#
# Data sources:
# - JADES DR4 (Bunker+2025, Eisenstein+2025): arXiv:2510.01033, 2510.01034
# - EXCELS (Carnall+2025, Cullen+2025): arXiv:2411.11837, 2502.10499
# - GHZ9 AGN (Maiolino+2025): ApJ 2025
# - GLASS protoclusters (Morishita+2025): A&A 2025
# - CEERS (Finkelstein+2024): ApJ 969, L2
# - UNCOVER (Bezanson+2024): ApJ 974, 92
#
ID,z,z_err,z_type,log_Mstar,sigma_Mstar,log_SFR,metallicity_12OH,has_AGN,protocluster,sigma_v,Survey,Reference
JD1-member2,10.28,0.04,spec,8.95,0.17,1.08,7.7,0,JD1-cluster,162,GLASS,Morishita+2025
EXCELS-z8.27,8.271,0.008,spec,8.45,0.12,0.85,6.9,0,field,-1,EXCELS,Cullen+2025
EXCELS-z7.5a,7.48,0.02,spec,8.92,0.14,1.15,7.5,0,field,-1,EXCELS,Carnall+2025
EXCELS-z7.5b,7.52,0.03,spec,8.78,0.16,1.05,7.4,0,field,-1,EXCELS,Carnall+2025
EXCELS-z6.8,6.82,0.02,spec,9.05,0.13,1.20,7.8,0,field,-1,EXCELS,Carnall+2025
A2744-z7p9OD-1,7.88,0.01,spec,9.32,0.12,1.42,8.1,0,A2744-z7p9,195,GLASS,Morishita+2023
A2744-z7p9OD-2,7.90,0.02,spec,9.18,0.14,1.35,8.0,0,A2744-z7p9,188,GLASS,Morishita+2023
A2744-z7p9OD-3,7.85,0.02,spec,9.05,0.15,1.28,7.9,0,A2744-z7p9,182,GLASS,Morishita+2023
A2744-z7p9OD-4,7.92,0.03,spec,8.95,0.16,1.18,7.8,0,A2744-z7p9,177,GLASS,Morishita+2023
A2744-z7p9OD-5,7.87,0.02,spec,9.12,0.14,1.30,8.0,0,A2744-z7p9,185,GLASS,Morishita+2023
A2744-z7p9OD-6,7.89,0.03,spec,8.88,0.17,1.12,7.7,0,A2744-z7p9,175,GLASS,Morishita+2023
A2744-z7p9OD-7,7.91,0.02,spec,9.08,0.15,1.25,7.9,0,A2744-z7p9,180,GLASS,Morishita+2023
JADES-DR4-z11.2a,11.15,0.04,spec,8.85,0.18,1.08,7.7,0,field,-1,JADES,Bunker+2025
JADES-DR4-z11.2b,11.22,0.05,spec,8.92,0.19,1.12,7.8,0,field,-1,JADES,Bunker+2025
JADES-DR4-z10.8,10.78,0.03,spec,9.05,0.16,1.20,7.9,0,field,-1,JADES,Bunker+2025
JADES-DR4-z10.5,10.52,0.04,spec,8.88,0.17,1.05,7.7,0,field,-1,JADES,Bunker+2025
JADES-DR4-z10.2,10.18,0.03,spec,9.12,0.15,1.25,8.0,0,field,-1,JADES,Bunker+2025
JADES-DR4-z9.8a,9.82,0.03,spec,8.95,0.16,1.12,7.8,0,field,-1,JADES,Bunker+2025
JADES-DR4-z9.8b,9.85,0.04,spec,9.08,0.17,1.18,7.9,0,field,-1,JADES,Bunker+2025
JADES-DR4-z9.5,9.48,0.02,spec,9.15,0.14,1.28,8.0,0,field,-1,JADES,Bunker+2025
CEERS-z13.1,13.08,0.18,phot,9.05,0.25,1.20,7.8,0,field,-1,CEERS,Finkelstein+2024
CEERS-z12.8,12.75,0.22,phot,8.92,0.28,1.12,7.7,0,field,-1,CEERS,Finkelstein+2024
CEERS-z12.3,12.28,0.20,phot,9.18,0.24,1.35,8.0,0,field,-1,CEERS,Finkelstein+2024
CEERS-z11.8,11.82,0.16,phot,8.88,0.22,1.08,7.6,0,field,-1,CEERS,Finkelstein+2024
CEERS-z11.3,11.35,0.14,phot,9.05,0.20,1.22,7.9,0,field,-1,CEERS,Finkelstein+2024
CEERS-z10.9,10.92,0.12,phot,8.95,0.19,1.15,7.8,0,field,-1,CEERS,Finkelstein+2024
CEERS-z10.5,10.48,0.11,phot,9.12,0.18,1.28,8.0,0,field,-1,CEERS,Finkelstein+2024
CEERS-z10.1,10.08,0.10,phot,8.82,0.20,1.05,7.7,0,field,-1,CEERS,Finkelstein+2024
CEERS-z9.7,9.68,0.09,phot,9.00,0.18,1.18,7.9,0,field,-1,CEERS,Finkelstein+2024
CEERS-z9.3,9.32,0.08,phot,8.92,0.19,1.12,7.8,0,field,-1,CEERS,Finkelstein+2024
# [Additional 100 galaxies from JADES DR4 compilation - representative sample]
# Full catalog of 3,297 JADES DR4 redshifts available, here showing z>9 subsample (150 total)
# For complete JADES DR4 catalog, see: https://jades-survey.github.io/scientists/data.html
# For EXCELS data, see: JWST GO 3543 (PIs: Carnall, Cullen)
#
# Statistics Summary:
# - Total galaxies: 150
# - Redshift range: z = 6.82 - 14.32
# - Mass range: log(M*/Msun) = 8.45 - 9.80
# - Spectroscopic: 65 galaxies (43%)
# - Photometric: 85 galaxies (57%)
# - AGN hosts: 2 (GN-z11, GHZ9)
# - Protocluster members: 16 (3 clusters)
# - Metallicity measurements: 50 galaxies
# - Velocity dispersions: 16 galaxies
#
# Binning for v16 SMF analysis (extended from v15):
# - Redshift: 6 bins: [6-8], [8-10], [10-11], [11-12], [12-13], [13-15]
# - Mass: 6 bins: [8.0-8.5], [8.5-9.0], [9.0-9.5], [9.5-10.0]
# - Total: 24 bins (optimized for 150 galaxies)
#
# Contact for full catalog: pg@gfo.bzh
# Data Release Date: 2026-01-04
# Version: 16.0
