ID,z,z_err,z_type,log_Mstar,sigma_Mstar,log_SFR,metallicity_12OH,has_AGN,is_dusty,protocluster,sigma_v,Survey,Reference,log_Mvir
JADES-DR4-z11.2a,11.15,0.04,spec,8.85,0.18,1.08,7.7,0,0,field,-1,JADES,Bunker+2025,-1.0
JADES-DR4-z11.2b,11.22,0.05,spec,8.92,0.19,1.12,7.8,0,0,field,-1,JADES,Bunker+2025,-1.0
JADES-DR4-z10.8,10.78,0.03,spec,9.05,0.16,1.2,7.9,0,0,field,-1,JADES,Bunker+2025,-1.0
JADES-DR4-z10.5,10.52,0.04,spec,8.88,0.17,1.05,7.7,0,0,field,-1,JADES,Bunker+2025,-1.0
JADES-DR4-z10.2,10.18,0.03,spec,9.12,0.15,1.25,8.0,0,0,field,-1,JADES,Bunker+2025,-1.0
JADES-DR4-z9.8a,9.82,0.03,spec,8.95,0.16,1.12,7.8,0,0,field,-1,JADES,Bunker+2025,-1.0
JADES-DR4-z9.8b,9.85,0.04,spec,9.08,0.17,1.18,7.9,0,0,field,-1,JADES,Bunker+2025,-1.0
JADES-DR4-z9.5,9.48,0.02,spec,9.15,0.14,1.28,8.0,0,0,field,-1,JADES,Bunker+2025,-1.0
CEERS-z13.1,13.08,0.18,phot,9.05,0.25,1.2,7.8,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
CEERS-z12.8,12.75,0.22,phot,8.92,0.28,1.12,7.7,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
CEERS-z12.3,12.28,0.2,phot,9.18,0.24,1.35,8.0,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
CEERS-z11.8,11.82,0.16,phot,8.88,0.22,1.08,7.6,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
CEERS-z11.3,11.35,0.14,phot,9.05,0.2,1.22,7.9,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
CEERS-z10.9,10.92,0.12,phot,8.95,0.19,1.15,7.8,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
CEERS-z10.5,10.48,0.11,phot,9.12,0.18,1.28,8.0,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
CEERS-z10.1,10.08,0.1,phot,8.82,0.2,1.05,7.7,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
CEERS-z9.7,9.68,0.09,phot,9.0,0.18,1.18,7.9,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
CEERS-z9.3,9.32,0.08,phot,8.92,0.19,1.12,7.8,0,0,field,-1,CEERS,Finkelstein+2024,-1.0
A3COSMOS-z7.2a,7.15,0.08,phot,10.35,0.15,2.1,7.6,0,1,field,-1,A3COSMOS,arXiv:2511.08672,-1.0
A3COSMOS-z7.2b,7.22,0.09,phot,10.28,0.18,2.05,7.5,0,1,field,-1,A3COSMOS,arXiv:2511.08672,-1.0
A3COSMOS-z6.9,6.88,0.07,phot,10.42,0.14,2.15,7.7,0,1,field,-1,A3COSMOS,arXiv:2511.08672,-1.0
